eps,energy_mean,energy_std_across_graphs
0,0.9442240880636346,0.0238222130649231
0.01666666666666667,0.8889677675163746,0.02351276944883724
0.03333333333333333,0.8317789511274704,0.02469014308753932
0.05,0.7733016950149205,0.02254292327850561
0.06666666666666667,0.7166113121113689,0.02241259309923233
0.08333333333333333,0.675932263004449,0.03053896335105569
0.1,0.6065376188373752,0.03141982114495785
0.1166666666666667,0.3617263448897113,0.1296697117356973
0.1333333333333333,0.3658931554725599,0.009221747513115892
0.15,0.5003975864729693,0.01261363770648185
0.1666666666666667,0.626850222269594,0.01580439173918921
0.1833333333333333,0.7375675113703408,0.0185930253102752
0.2,0.827159339522139,0.02083833644918848
0.2166666666666667,0.8922829994821135,0.02249419155272313
0.2333333333333333,0.9312827177661486,0.02347242142533847
0.25,0.9440970011595107,0.02379168225937343
0.2666666666666667,0.9318224514204057,0.02349285694006348
0.2833333333333333,0.8965902595089913,0.02259969694677361
0.3,0.8413555385295013,0.02122596048539471
0.3166666666666667,0.7707507771040324,0.01818845251964887
0.3333333333333333,0.7080952384539201,0.0166674525729719
0.35,0.6502645083161098,0.01392643796443135
0.3666666666666666,0.6001697883387047,0.01205882365041022
0.3833333333333333,0.5581127824869729,0.01247913757777529
0.4,0.5240566232822575,0.01517308948068458
0.4166666666666667,0.4975974776801889,0.01881502681918951
0.4333333333333333,0.4779801811383892,0.02234127174981882
0.45,0.4642207616497581,0.02522844957315461
0.4666666666666667,0.4552934950747886,0.02729102871151387
0.4833333333333333,0.450323113796251,0.02850649135810955
0.5,0.0007933584113065728,0.0007359173062621063
